"id","means_of_travel_id","measurement_process_id","data_collection"
1,1,b827eb0fae5c_20230829_01,sensor_b827eb0fae5c
2,1,b827eb0fae5c_20251010_01,sensor_b827eb0fae5c
3,5,b827eb0fae5c_20251024_02,sensor_b827eb0fae5c
4,3,b827eb0fae5c_20251001_02,sensor_b827eb0fae5c
5,1,b827eb0fae5c_20250930_01,sensor_b827eb0fae5c
6,3,b827eb0fae5c_20230615_01,sensor_b827eb0fae5c
7,3,b827eb0fae5c_20230505_01,sensor_b827eb0fae5c
8,4,b827eb0fae5c_20251002_02,sensor_b827eb0fae5c
9,1,b827eb0fae5c_20230614_01,sensor_b827eb0fae5c
10,5,b827eb0fae5c_20230613_01,sensor_b827eb0fae5c
11,1,b827eb0fae5c_20230502_01,sensor_b827eb0fae5c
12,2,b827eb0fae5c_20251001_01,sensor_b827eb0fae5c
13,2,b827eb0fae5c_20251002_04,sensor_b827eb0fae5c
14,4,b827eb0fae5c_20251002_01,sensor_b827eb0fae5c
15,2,b827eb0fae5c_20230614_02,sensor_b827eb0fae5c
16,1,b827eb0fae5c_20251021_01,sensor_b827eb0fae5c
17,3,b827eb0fae5c_20230614_04,sensor_b827eb0fae5c
18,2,b827eb0fae5c_20251028_01,sensor_b827eb0fae5c
19,3,b827eb0fae5c_20251002_03,sensor_b827eb0fae5c
20,1,b827eb0fae5c_20251022_02,sensor_b827eb0fae5c
21,3,b827eb0fae5c_20230508_01,sensor_b827eb0fae5c
22,3,b827eb0fae5c_20251024_01,sensor_b827eb0fae5c
23,1,b827eb0fae5c_20230622_01,sensor_b827eb0fae5c
24,3,b827eb0fae5c_20251009_02,sensor_b827eb0fae5c
25,1,b827eb0fae5c_20230620_01,sensor_b827eb0fae5c
26,5,b827eb0fae5c_20251022_01,sensor_b827eb0fae5c
27,1,b827eb0fae5c_20230620_03,sensor_b827eb0fae5c
28,5,b827eb0fae5c_20251002_05,sensor_b827eb0fae5c
29,5,b827eb0fae5c_20251009_01,sensor_b827eb0fae5c
30,2,b827eb0fae5c_20251005_01,sensor_b827eb0fae5c
31,4,b827eb0fae5c_20251005_02,sensor_b827eb0fae5c
32,1,b827eb0fae5c_20230619_01,sensor_b827eb0fae5c
33,5,b827eb0fae5c_20251001_03,sensor_b827eb0fae5c
34,1,b827eb0fae5c_20230620_02,sensor_b827eb0fae5c
35,4,b827eb0fae5c_20230614_03,sensor_b827eb0fae5c
36,2,b827eb0fae5c_20251010_03,sensor_b827eb0fae5c
37,1,b827eb0fae5c_20251010_02,sensor_b827eb0fae5c
38,5,b827eb0fae5c_20230504_01,sensor_b827eb0fae5c